Domain Name | Source IP | Destination IP | Query Type | Count
clientservices.googleapis.com | 127.0.0.1 | 127.0.0.53 | A | 2 fois
clientservices.googleapis.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
clientservices.googleapis.com | 192.168.1.179 | 192.168.1.1 | A | 2 fois
clientservices.googleapis.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
accounts.google.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
accounts.google.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 1 fois
accounts.google.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
accounts.google.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
clientservices.googleapis.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
clientservices.googleapis.com | 192.168.1.1 | 192.168.1.179 | A | 2 fois
accounts.google.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
clientservices.googleapis.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 2 fois
accounts.google.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
clientservices.googleapis.com | 127.0.0.53 | 127.0.0.1 | A | 2 fois
accounts.google.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
accounts.google.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
onedrive.live.com | 127.0.0.1 | 127.0.0.53 | A | 4 fois
onedrive.live.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 8 fois
onedrive.live.com | 192.168.1.179 | 192.168.1.1 | A | 2 fois
onedrive.live.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
onedrive.live.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
odwebpl.trafficmanager.net.dual-spov-0006.spov-msedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
onedrive.live.com | 192.168.1.1 | 192.168.1.179 | A | 2 fois
onedrive.live.com | 127.0.0.53 | 127.0.0.1 | A | 4 fois
odwebpl.trafficmanager.net.dual-spov-0006.spov-msedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
dual-spov-0006.spov-msedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 4 fois
dual-spov-0006.spov-msedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 4 fois
onedrive.live.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 4 fois
api.onedrive.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
api.onedrive.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
api.onedrive.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
api.onedrive.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
api.onedrive.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
api.onedrive.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
api.onedrive.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
l-0003.l-msedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
l-0003.l-msedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
api.onedrive.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
translate.googleapis.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
translate.googleapis.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
translate.googleapis.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
translate.googleapis.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
translate.googleapis.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
translate.googleapis.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
my.microsoftpersonalcontent.com | 127.0.0.1 | 127.0.0.53 | A | 2 fois
my.microsoftpersonalcontent.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 4 fois
my.microsoftpersonalcontent.com | 192.168.1.179 | 192.168.1.1 | A | 2 fois
my.microsoftpersonalcontent.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
my.microsoftpersonalcontent.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
my.microsoftpersonalcontent.com | 192.168.1.1 | 192.168.1.179 | A | 2 fois
my.microsoftpersonalcontent.com | 127.0.0.53 | 127.0.0.1 | A | 2 fois
my.microsoftpersonalcontent.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 2 fois
res-1.cdn.office.net | 127.0.0.1 | 127.0.0.53 | A | 2 fois
res-1.cdn.office.net | 127.0.0.1 | 127.0.0.53 | HTTPS | 3 fois
res-1.cdn.office.net | 192.168.1.179 | 192.168.1.1 | A | 1 fois
res-1.cdn.office.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
res-1.cdn.office.net | 192.168.1.1 | 192.168.1.179 | A | 1 fois
res-1.cdn.office.net | 127.0.0.53 | 127.0.0.1 | A | 2 fois
res-1.cdn.office.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
e40491.dscd.akamaiedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
e40491.dscd.akamaiedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
res-1.cdn.office.net | 127.0.0.53 | 127.0.0.1 | HTTPS | 2 fois
skyapi.onedrive.live.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
skyapi.onedrive.live.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
skyapi.onedrive.live.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
skyapi.onedrive.live.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
skyapi.onedrive.live.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
skyapi.onedrive.live.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
skyapi.onedrive.live.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
i-dub07p-cor003.api.p001.1drv.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
i-dub07p-cor003.api.p001.1drv.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
skyapi.onedrive.live.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
ecs.office.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
ecs.office.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
ecs.office.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
ecs.office.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
content.lifecycle.office.net | 127.0.0.1 | 127.0.0.53 | A | 1 fois
content.lifecycle.office.net | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
content.lifecycle.office.net | 192.168.1.179 | 192.168.1.1 | A | 1 fois
content.lifecycle.office.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
ecs.office.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
ecs.office.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
ecs.office.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
s-0005.s-msedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
content.lifecycle.office.net | 192.168.1.1 | 192.168.1.179 | A | 1 fois
content.lifecycle.office.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
content.lifecycle.office.net | 127.0.0.53 | 127.0.0.1 | A | 1 fois
l-0007.l-msedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 3 fois
s-0005.s-msedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
ecs.office.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
l-0007.l-msedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 3 fois
content.lifecycle.office.net | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
storage.live.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
storage.live.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
storage.live.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
storage.live.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
res.cdn.office.net | 127.0.0.1 | 127.0.0.53 | A | 1 fois
res.cdn.office.net | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
res.cdn.office.net | 192.168.1.179 | 192.168.1.1 | A | 1 fois
res.cdn.office.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
storage.live.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
storage.live.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
storage.live.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
res.cdn.office.net | 192.168.1.1 | 192.168.1.179 | A | 1 fois
res.cdn.office.net | 127.0.0.53 | 127.0.0.1 | A | 1 fois
res.cdn.office.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
e40491.dscg.akamaiedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
storage.live.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
e40491.dscg.akamaiedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
res.cdn.office.net | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
config.edge.skype.com | 127.0.0.1 | 127.0.0.53 | A | 2 fois
config.edge.skype.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 4 fois
config.edge.skype.com | 192.168.1.179 | 192.168.1.1 | A | 2 fois
config.edge.skype.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
config.edge.skype.com | 192.168.1.1 | 192.168.1.179 | A | 2 fois
config.edge.skype.com | 127.0.0.53 | 127.0.0.1 | A | 2 fois
config.edge.skype.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
config.edge.skype.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 2 fois
login.microsoftonline.com | 127.0.0.1 | 127.0.0.53 | A | 3 fois
login.microsoftonline.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 6 fois
login.microsoftonline.com | 192.168.1.179 | 192.168.1.1 | A | 2 fois
login.microsoftonline.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
login.microsoftonline.com | 192.168.1.1 | 192.168.1.179 | A | 2 fois
login.microsoftonline.com | 127.0.0.53 | 127.0.0.1 | A | 3 fois
login.microsoftonline.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
www.tm.ak.prd.aadg.trafficmanager.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 3 fois
www.tm.ak.prd.aadg.trafficmanager.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 3 fois
login.microsoftonline.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 3 fois
westeurope1-0.pushnp.svc.ms | 127.0.0.1 | 127.0.0.53 | A | 1 fois
westeurope1-0.pushnp.svc.ms | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
westeurope1-0.pushnp.svc.ms | 192.168.1.179 | 192.168.1.1 | A | 1 fois
westeurope1-0.pushnp.svc.ms | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
westeurope1-0.pushnp.svc.ms | 192.168.1.1 | 192.168.1.179 | A | 1 fois
westeurope1-0.pushnp.svc.ms | 127.0.0.53 | 127.0.0.1 | A | 1 fois
westeurope1-0.pushnp.svc.ms | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
westeurope1-0-pushnp.trafficmanager.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
westeurope1-0-pushnp.trafficmanager.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
westeurope1-0.pushnp.svc.ms | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
browser.pipe.aria.microsoft.com | 127.0.0.1 | 127.0.0.53 | A | 2 fois
browser.pipe.aria.microsoft.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 4 fois
browser.pipe.aria.microsoft.com | 192.168.1.179 | 192.168.1.1 | A | 2 fois
browser.pipe.aria.microsoft.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
browser.pipe.aria.microsoft.com | 192.168.1.1 | 192.168.1.179 | A | 2 fois
browser.pipe.aria.microsoft.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
browser.pipe.aria.microsoft.com | 127.0.0.53 | 127.0.0.1 | A | 2 fois
onedscolprdjpe03.japaneast.cloudapp.azure.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
onedscolprdjpe03.japaneast.cloudapp.azure.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
browser.pipe.aria.microsoft.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 2 fois
browser.events.data.microsoft.com | 127.0.0.1 | 127.0.0.53 | A | 2 fois
browser.events.data.microsoft.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 4 fois
browser.events.data.microsoft.com | 192.168.1.179 | 192.168.1.1 | A | 2 fois
browser.events.data.microsoft.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
browser.events.data.microsoft.com | 192.168.1.1 | 192.168.1.179 | A | 2 fois
browser.events.data.microsoft.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
browser.events.data.microsoft.com | 127.0.0.53 | 127.0.0.1 | A | 2 fois
onedscolprdwus10.westus.cloudapp.azure.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
onedscolprdwus10.westus.cloudapp.azure.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
browser.events.data.microsoft.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 2 fois
update.googleapis.com | 127.0.0.1 | 127.0.0.53 | A | 2 fois
update.googleapis.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 3 fois
update.googleapis.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
update.googleapis.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
update.googleapis.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
update.googleapis.com | 127.0.0.53 | 127.0.0.1 | A | 2 fois
update.googleapis.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
update.googleapis.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 2 fois
www.google.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
www.google.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 1 fois
www.google.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
www.google.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
www.google.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
www.google.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
optimizationguide-pa.googleapis.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
optimizationguide-pa.googleapis.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
optimizationguide-pa.googleapis.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
optimizationguide-pa.googleapis.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
optimizationguide-pa.googleapis.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
optimizationguide-pa.googleapis.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
optimizationguide-pa.googleapis.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
optimizationguide-pa.googleapis.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
workgroup | 127.0.0.1 | 127.0.0.53 | A | 4 fois
workgroup | 127.0.0.1 | 127.0.0.53 | AAAA | 4 fois
workgroup | 127.0.0.53 | 127.0.0.1 | A | 4 fois
workgroup | 127.0.0.53 | 127.0.0.1 | AAAA | 4 fois
connectivity-check.ubuntu.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
connectivity-check.ubuntu.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
wise.public.cdn.office.net | 127.0.0.1 | 127.0.0.53 | A | 1 fois
wise.public.cdn.office.net | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
wise.public.cdn.office.net | 192.168.1.179 | 192.168.1.1 | A | 1 fois
wise.public.cdn.office.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
wise-m.public.cdn.office.net | 127.0.0.1 | 127.0.0.53 | A | 1 fois
wise-m.public.cdn.office.net | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
wise-m.public.cdn.office.net | 192.168.1.179 | 192.168.1.1 | A | 1 fois
wise-m.public.cdn.office.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
wise-m.public.cdn.office.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
wise-m.public.cdn.office.net | 192.168.1.1 | 192.168.1.179 | A | 1 fois
wise.public.cdn.office.net | 192.168.1.1 | 192.168.1.179 | A | 1 fois
